is_private,is_failure,is_root,is_valid,user,ip_failure,ip_success,no_failure,first,td,ts,class
1,0,0,1,osamac,0,1,0,0,1,1544539167.0,
1,0,0,1,osamac,0,2,0,62,0,1544539229,
1,1,1,0,root,1,2,2,34,0,1544539263,
1,1,1,0,root,2,2,3,39,0,1544539302,
1,1,1,0,root,3,2,4,1,0,1544539303,
1,0,0,1,osamac,3,3,0,9,0,1544539312,
1,0,0,1,osamac,0,1,0,0,1,1544539357.0,
1,0,0,1,osamac,0,2,0,80,0,1544539437,
1,0,0,1,osamac,0,3,0,10,0,1544539447,
1,0,0,1,osamac,3,4,0,161,0,1544539473,
1,0,0,1,osamac,0,1,0,0,1,1544540522.0,
1,0,0,1,osamac,0,2,0,354,0,1544540876,
1,1,0,0,osamac,1,2,2,54,0,1544540930,
1,1,0,0,osamac,2,2,3,9,0,1544540939,
1,1,0,0,osamac,3,2,4,5,0,1544540944,
1,1,1,0,root,4,2,6,623,0,1544541567,
1,1,1,0,root,5,2,7,16,0,1544541583,
1,1,0,0,gta,6,2,8,1351,0,1544542934,
1,1,1,0,root,7,2,10,285,0,1544543219,
1,1,1,0,root,8,2,11,6,0,1544543225,
1,0,0,1,osamac,3,5,0,5312,0,1544544785,
1,1,0,0,gta,9,2,1,1722,0,1544544947,
1,1,0,0,gta,10,2,3,28,0,1544544975,
1,1,0,0,gta,11,2,4,10,0,1544544985,
1,1,0,0,gta,12,2,5,257,0,1544545242,
1,1,0,0,gta,13,2,7,14,0,1544545256,
1,1,0,0,gta,14,2,8,6,0,1544545262,
1,0,0,1,osamac,3,6,0,552,0,1544545337,
1,0,0,1,osamac,3,7,0,142,0,1544545479,
1,0,0,1,osamac,3,8,0,13,0,1544545492,
1,0,0,1,osamac,3,9,0,120,0,1544545612,
1,1,0,0,osamac,4,9,2,72,0,1544545684,
1,1,0,0,osamac,5,9,4,279,0,1544545963,
1,1,0,0,osamac,6,9,5,89,0,1544546052,
1,1,0,0,osamac,7,9,7,21,0,1544546073,
1,1,0,0,osamac,8,9,8,59,0,1544546132,
1,1,1,0,root,9,9,10,662,0,1544546794,
1,1,1,0,root,10,9,11,24,0,1544546818,
1,0,0,1,osamac,10,10,0,311,0,1544547129,
1,0,0,1,osamac,10,11,0,142,0,1544547271,
1,0,0,1,osamac,10,12,0,33,0,1544547304,
1,0,0,1,osamac,10,13,0,29,0,1544547333,
1,1,1,0,root,15,2,2,2118,0,1544547380,
1,1,1,0,root,16,2,4,5637,0,1544553017,
1,1,1,0,root,17,2,5,23,0,1544553040,
1,0,0,1,osamac,10,14,0,6697,0,1544554030,
1,1,1,0,root,18,2,1,1086,0,1544554126,
1,1,1,0,root,19,2,2,1,0,1544554127,
1,0,0,1,osamac,19,3,0,32,0,1544554159,
1,0,0,1,osamac,19,4,0,26,0,1544554185,
1,0,0,1,osamac,19,5,0,851,0,1544555036,
1,1,0,0,osamac,20,5,2,9,0,1544555045,
1,1,0,0,osamac,21,5,3,3,0,1544555048,
1,0,0,1,osamac,21,6,0,1980,0,1544557028,
1,0,0,1,osamac,21,7,0,13,0,1544557041,
